Prot.	Zdr.naz	Zdr.URL	Nazev

HTTP	HTML	HTML	xxxDachix
HTTP	HTML	XML	xxxEmpFlix
HTTP	HTML	HTML	xxxExtremeTube
HTTP	HTML	Nested	xxxGrinvi
HTTP	HTML	HTML	xxxKeezMovies
HTTP	XML	XML	xxxMegaPorn
HTTP	HTML	HTML	xxxPornHost
HTTP	HTML	HTML	xxxPornHub
HTTP	XML	XML	xxxPornHubEmbed
HTTP	HTML	HTML1	xxxPornoTube
HTTP	HTML	HTML	xxxRedTube
HTTP	XML	XML	xxxRude
HTTP	HTML	HTML	xxxSexDoma
HTTP	HTML	HTML	xxxShufuni
HTTP	HTML	XML	xxxSpankingTube
HTTP	HTML	XML	xxxTnaFlix
HTTP	HTML	HTML	xxxTube8
HTTP	HTML	HTML	xxxTubeSSS
HTTP	HTML	XML	xxxXHamster
HTTP	HTML	HTML	xxxXNXX
HTTP	HTML	HTML1	xxxXTube
HTTP	HTML	HTML	xxxXVideoHost
HTTP	HTML	HTML	xxxXVideos
HTTP	HTML	HTML	xxxYouJizz
HTTP	HTML	XML	xxxYouPorn
HTTP	HTML	HTML	xxxYuvutu

*HTTP1 ... Multiple vars parsing
