Prot.	Zdr.naz	Zdr.URL	Nazev

RTMP	-	HTML	down1hdRo (<-downPrahovaHD)
HTTP	HTML	HTML	down5min
HTTP	HTML	HTML	downAktualne
HTTP	HTML	HTML	downAngryAlien
MS	HTML	HTML	downAutoSalonTV
HTTP	HTML	XML	downAutoTube
HTTP	HTML	Nested	downBandZone
RTMP	XML	XML	downBarrandov
HTTP	HTML	Nested	downBlennus
HTTP	XML	XML	downBlipTv
HTTP	HTML	XML	downBofunk
HTTP	HTML	XML	downBolt
HTTP	HTML	Nested	downBomba
HTTP	HTML	JSON	downBreak
HTTP	Url	Url	downBreakEmbed
HTTP	Url	Url	downBreakEmbedV2
HTTP	HTML	Nested	downCasSk
HTTP	HTML	HTML	downCekniTo
HTTP	HTML	HTML	downCeskeDrahy
HTTP	HTML	HTML	downCestyKSobe
HTTP	XML	XML	downClipfish
HTTP	XML	XML	downCollegeHumor
RTMP	HTML	XML	downCrunchyRoll
HTTP	XML	XML	downCSmaTalent
RTMP	HTML	XML	downCT
MS	HTML	XML	downCT_old
MS	HTML	XML	downCT_Port
MS	HTML	XML	downCT_Program
MS	HTML	XML	downCT24
MS	HTML	XML	downCT24MSFotbal
HTTP	HTML	HTML	downCurrent
HTTP	HTML	HTML1	downDailyHaha
HTTP	HTML	HTML1	downDailyMotion
HTTP	HTML	HTML	downDeutscheBahn
HTTP	HTML	Nested	downDevilDucky
HTTP	JSON	JSON	downDotSub
HTTP	HTML	HTML	downDoubleAgent
HTTP	HTML	Nested	downDrsnySvet
HTTP	HTML	HTML	downDub
HTTP	HTML	HTML	downEbaumsWorld
HTTP	HTML	HTML	downEHow
HTTP	HTML	XML	downESPN
HTTP	HTML	HTML	downEVTV1
HTTP	HTML	HTML	downFacebook
HTTP	HTML	HTML	downFileCabi
HTTP	HTML	HTML	downFishki
HTTP	XML	XML	downFlickr
HTTP	XML	XML	downFreeCaster
HTTP	HTML	XML	downFreeRide
HTTP	HTML	JSON	downFreeVideoRu
HTTP	HTML	Nested	downGameAnyone
HTTP	XML	XML	downGodTube
HTTP	HTML	HTML	downGrindTV
HTTP	HTML	HTML	downGuba
RTMP	HTML	HTML	downHasici150
RTMP	XML	XML	downIDnes
RTMP	HTML	HTML	downIHned
HTTP	HTML	HTML	downIPrima
HTTP	XML	XML	downJoj
HTTP	HTML	HTML	downKontraband
HTTP	HTML	HTML	downKukaj
HTTP	HTML	HTML	downLibimSeTi
HTTP	HTML	XML	downLiveLeak
HTTP	XML	XML	downLiveVideo
HTTP	HTML	HTML	downLoupak
HTTP	JSON	JSON	downMarkiza
HTTP	HTML	HTML	downMediaSport
HTTP	XML	XML	downMegaVideo
HTTP	HTML	HTML	downMetaCafe
HTTP	HTML	XML	downMetropolTV
HTTP	HTML	HTML	downMojeVideo
HTTP	HTML	HTML	downMojeVideoSk
HTTP	XML	XML	downMpora
RTMP	XML	XML	downMTV
RTMP	XML	XML	downMTVEmbed
HTTP	HTML	Nested	downMustWatch
HTTP	XML	XML	downMuzu
HTTP	XML	XML	downMySpace
HTTP	HTML	HTML	downMyUbo
HTTP	HTML	HTML	downNaStojaka
RTMP	AMF	AMF	downNBC
HTTP	HTML	HTML	downNJoy
HTTP	HTML	HTML	downNothingToxic
HTTP	HTML	HTML	downNovinky
RTMP	XML	XML	downNova
HTTP	HTML	Nested	downOverStream
HTTP	XML	XML	downPCPlanets
RTMP	-	HTML	downPrahovaHD
MS	HTML	XML	downPrazdninyVTelci
HTTP	HTML	Nested	downPrimaCool
HTTP	-	HTML	downQipRu_Embed
HTTP	HTML	HTML+XML	downRaajje
HTTP	HTML	HTML	downRingTV (<-downGrindTV)
HTTP	XML	XML	downRockstarGames
HTTP	HTML	HTML	downRozhlas
MS	XML	XML	downRTA (<-downRTA_Embed)
MS	XML	XML	downRTA_Embed
MS	XML	XML	downRtlNl
HTTP	HTML	XML	downSerialyCZ (<-downZkoukniTo)
HTTP	XML	XML	downSevenLoad
HTTP	HTML	HTML	downSnotr
HTTP	XML	XML	downSpike
RTMP	HTML	HTML	downSportStream
HTTP	HTML	HTML	downStagevu
HTTP	HTML	Nested	downStastneVdovy
HTTP	HTML	HTML	downStickam
HTTP	HTML	HTML	downStream
HTTP	HTML	HTML	downStreetFire
HTTP	HTML	HTML	downStudioPlus
HTTP	HTML	HTML	downStupidVideos (<-downGrindTV)
RTMP	HTML	XML	downSTV
HTTP	HTML	HTML	downSuper
HTTP	XML	XML	downTangle
HTTP	XML	XML	downTeacherTube
MS	XML	XML	downTipovani
HTTP	XML	XML	downTodaysBigThing
HTTP	HTML	HTML	downTontuyau
RTMP	HTML	XML	downTotallyCrap
HTTP	HTML	HTML	downTV7
MS	HTML	XML	downTVcom
HTTP	XML	XML	downTVNoe
RTMP	XML	XML	downTVSpl
HTTP	HTML	XML	downTyzdenSk
RTMP	HTML	XML	downUniMinnesota
HTTP	HTML	HTML+AMF	downUStream
HTTP	HTML	Nested	downVideaCesky
HTTP	HTML	XML	downVideoAlbumyAzet
HTTP	HTML	HTML	downVideoClipsDump
HTTP	HTML	XML	downVideu
HTTP	XML	XML	downVimeo
HTTP	XML	XML	downVitalMtb
HTTP	HTML	HTML	downWeGame
HTTP	HTML	HTML	downWimp
HTTP	AMF	AMF	downWordPressTV
HTTP	HTML	HTML	downWrzuta
HTTP	HTML	HTML	downYikers
HTTP	HTML	HTML1	downYouTube
HTTP	HTML	HTML	downZ1TV
HTTP	HTML	XML	downZkoukniTo

*HTTP1 ... Multiple vars parsing
